date,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,unassigned
2020-05-19,0,0,4,0,1,2,3,2,0,0,2,0,2,2,0,1,0,0,1,0
2020-05-20,0,0,0,0,1,0,1,2,1,0,3,0,1,0,0,1,2,0,0,0
2020-05-21,0,0,0,1,0,4,2,2,1,2,2,1,0,1,0,0,1,1,0,0
2020-05-22,0,1,0,0,0,2,2,2,0,0,1,0,3,2,0,0,2,0,1,0
2020-05-23,0,0,0,0,2,3,0,2,0,1,0,0,0,1,1,1,0,0,0,0
2020-05-24,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,1,0
2020-05-25,0,2,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,1,0,0
2020-05-26,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,1,0,2,0,0
2020-05-27,0,0,0,0,0,1,2,5,0,2,1,0,2,0,0,0,2,0,0,0
2020-05-28,0,1,0,2,1,0,2,3,3,1,2,0,0,1,0,1,1,0,2,0
2020-05-29,0,0,0,0,0,0,1,1,0,1,1,2,1,3,1,1,0,0,0,0
2020-05-30,0,0,0,0,0,3,1,0,1,0,0,0,2,0,1,0,0,0,2,0
2020-05-31,0,0,0,1,2,0,3,1,0,0,1,1,0,0,0,2,0,2,1,0
2020-06-01,0,0,1,0,1,3,2,5,0,0,1,1,1,1,2,0,2,1,1,0
2020-06-02,2,1,0,1,0,4,4,2,1,1,2,1,3,0,0,1,1,1,1,0
2020-06-03,0,0,0,0,1,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0
2020-06-04,0,0,0,3,1,1,1,0,1,1,0,2,1,0,0,0,1,1,0,0
2020-06-05,1,1,0,3,1,2,1,1,2,1,1,0,2,0,1,0,0,1,1,0
2020-06-06,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2020-06-07,0,0,0,0,0,1,1,1,2,0,2,2,0,0,0,0,0,0,1,0
2020-06-08,0,1,2,0,1,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0
2020-06-09,0,0,2,1,0,0,1,1,0,4,1,1,2,1,1,0,0,0,0,0
2020-06-10,0,0,1,1,1,3,1,1,1,0,2,1,2,0,3,0,0,1,0,0
2020-06-11,0,0,0,1,0,2,2,2,1,0,1,3,1,1,0,0,1,1,0,0
2020-06-12,0,0,0,0,2,5,1,1,1,1,1,0,1,2,0,1,0,0,1,0
2020-06-13,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
2020-06-14,0,0,0,1,1,0,3,0,0,1,0,1,0,0,0,0,2,0,0,0
2020-06-15,0,1,0,0,1,1,1,0,3,3,1,1,0,0,0,0,0,0,0,0
2020-06-16,2,0,0,0,4,2,0,2,3,2,2,2,0,2,0,0,0,0,0,0
2020-06-17,1,1,1,1,3,4,0,2,0,1,1,0,1,0,0,0,1,1,0,0
2020-06-18,0,0,2,4,3,1,1,1,0,1,3,2,1,0,0,0,0,0,0,0
2020-06-19,0,0,2,1,1,1,1,6,2,0,1,0,1,0,2,1,0,0,0,0
2020-06-20,0,0,0,1,3,0,1,1,0,1,1,1,1,2,0,0,0,0,0,0
2020-06-21,0,1,1,0,1,2,3,4,0,2,0,1,0,2,1,0,0,0,0,0
2020-06-22,0,0,0,0,1,1,1,3,0,0,1,0,0,1,2,0,0,0,0,0
2020-06-23,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-06-24,0,1,2,4,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0
2020-06-25,0,1,1,3,1,1,2,2,1,2,0,1,0,0,0,0,0,0,0,0
2020-06-26,0,2,1,3,1,0,3,2,0,1,3,0,0,0,0,0,0,0,0,0
2020-06-27,2,0,0,1,0,3,1,2,1,0,0,0,1,0,0,0,1,1,0,0
2020-06-28,1,0,1,2,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
2020-06-29,0,1,0,0,0,1,1,1,2,1,0,2,0,1,0,0,1,0,0,0
2020-06-30,0,1,1,0,0,2,1,0,1,2,2,1,0,0,0,0,0,0,1,0
2020-07-01,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0
2020-07-03,1,0,0,0,1,0,3,0,0,1,0,1,0,0,0,1,0,0,3,0
2020-07-04,1,1,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,2,3,3,2,3,4,2,0,1,0,1,1,0,0,0,0,0
2020-07-06,0,0,2,1,2,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0
2020-07-07,1,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,1,3,2,1,0,2,1,0,0,2,0,0,0,0,0,0
2020-07-09,0,0,0,0,4,3,2,3,0,1,1,0,0,1,0,0,0,0,0,0
2020-07-10,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0
2020-07-11,1,0,0,0,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,2,0,0,1,1,0,2,0,1,0,0,0,0,0,0
2020-07-13,0,0,0,1,0,0,4,1,1,0,1,1,0,0,0,0,0,0,0,0
2020-07-14,0,1,1,1,3,1,1,3,3,0,3,0,1,1,0,0,0,0,0,0
2020-07-15,0,0,0,0,2,3,2,0,0,1,0,1,2,0,2,0,1,0,0,0
2020-07-16,2,2,0,1,7,0,4,3,1,0,3,1,1,0,0,0,0,0,0,0
2020-07-17,2,1,0,1,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
2020-07-18,0,0,0,2,3,3,0,2,2,0,2,0,1,0,0,0,0,0,1,0
2020-07-19,0,0,0,0,0,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0
2020-07-20,0,1,1,2,2,1,0,3,3,0,1,0,1,0,0,0,0,0,0,0
2020-07-21,0,1,0,2,1,0,2,1,3,2,2,1,0,0,0,0,0,0,0,0
2020-07-22,0,0,1,1,1,1,0,2,0,1,0,3,0,0,1,0,0,0,0,0
2020-07-23,0,0,0,0,3,3,1,2,0,0,1,1,0,0,1,0,0,1,0,0
2020-07-24,0,2,0,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
2020-07-25,0,0,0,0,1,3,1,0,2,1,0,1,0,0,0,0,1,0,0,0
2020-07-26,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-27,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0
2020-07-28,0,0,0,0,3,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0
2020-07-29,1,0,1,0,2,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0
2020-07-30,0,0,0,1,2,2,2,0,1,1,2,0,2,0,0,1,0,1,0,0
2020-07-31,0,0,0,1,2,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0
2020-08-01,1,1,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,0,0,1,0,2,0,0,4,1,1,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,2,2,2,0,2,0,1,3,0,1,0,0,0,0,0,0,0
2020-08-04,0,0,0,2,1,3,3,0,1,0,2,1,1,0,1,0,0,0,0,0
2020-08-05,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
2020-08-06,0,0,0,2,2,1,1,3,0,2,3,2,0,1,1,0,0,0,0,0
2020-08-07,0,1,0,1,0,2,3,3,4,0,0,2,1,0,1,0,0,0,0,0
2020-08-08,0,1,0,1,0,1,3,3,2,0,0,0,2,1,0,0,0,0,0,0
2020-08-09,0,0,3,0,3,0,1,2,2,0,1,0,1,0,0,0,0,0,0,0
2020-08-10,0,0,0,1,1,4,3,0,0,0,2,1,0,0,1,0,0,0,0,0
2020-08-11,0,0,0,0,3,3,3,0,2,1,2,1,0,0,0,1,0,0,0,0
2020-08-12,1,0,1,1,2,2,2,0,2,0,1,2,0,0,0,0,0,0,0,0
2020-08-13,0,0,0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
2020-08-14,0,0,0,1,0,2,0,3,3,1,0,1,0,3,0,0,0,0,0,0
2020-08-15,0,2,1,0,3,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-08-17,3,4,1,8,2,2,3,4,1,4,2,2,0,0,0,0,0,1,0,0
2020-08-18,0,0,0,0,1,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0
2020-08-19,1,0,0,0,3,2,1,0,4,0,1,0,1,0,0,0,0,1,0,0
2020-08-20,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2020-08-21,0,0,0,2,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0
2020-08-22,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,1,1,3,0,2,1,2,1,1,1,0,1,0,0,1,0,0,0
2020-08-24,0,0,0,0,5,2,1,2,2,0,3,0,0,0,0,0,0,0,0,0
2020-08-25,1,0,0,0,2,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0
2020-08-26,0,0,2,0,0,4,2,3,2,1,2,0,0,0,0,0,0,0,0,0
2020-08-27,0,1,0,1,4,1,1,1,1,2,2,0,1,0,0,0,1,0,0,0
2020-08-28,1,3,1,1,2,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0
2020-08-29,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-30,3,0,0,0,2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,1,1,0,3,2,1,2,0,1,0,0,3,0,0,0,0,0,0,0
2020-09-01,1,0,0,5,4,0,2,1,1,3,0,0,0,0,0,0,2,0,0,0
2020-09-02,1,3,0,3,5,3,3,2,3,1,1,1,6,0,0,0,0,0,1,0
2020-09-03,0,3,1,1,2,2,0,4,1,4,1,0,1,0,1,1,1,0,0,0
2020-09-04,1,1,1,3,8,3,0,2,5,2,1,0,5,0,0,0,0,0,0,0
2020-09-05,0,2,0,2,2,2,4,2,2,1,0,0,0,1,1,0,0,0,0,0
2020-09-06,0,0,2,1,3,1,1,0,1,1,3,0,2,1,0,0,0,0,0,0
2020-09-07,0,4,5,2,2,4,3,3,0,2,1,2,3,0,2,1,0,0,0,0
2020-09-08,0,3,2,2,2,2,6,2,1,0,1,3,0,0,1,1,0,0,0,0
2020-09-09,1,2,1,2,1,6,2,2,1,3,0,1,1,1,1,0,0,0,0,0
2020-09-10,2,4,3,4,5,2,5,0,4,3,2,3,0,0,1,0,0,0,0,0
2020-09-11,5,4,3,2,7,2,3,5,3,6,2,1,0,0,1,0,1,0,0,0
2020-09-12,0,0,2,1,1,2,1,1,2,1,2,1,2,2,0,0,0,0,0,0
2020-09-13,0,0,0,1,2,3,4,2,3,0,0,0,1,2,0,0,0,1,0,0
2020-09-14,0,1,2,1,5,1,3,3,2,2,2,1,3,0,0,0,0,0,1,0
2020-09-15,1,1,2,1,8,5,4,3,2,5,1,2,3,0,0,0,0,0,0,0
2020-09-16,1,3,4,2,4,3,8,10,2,6,7,1,4,1,0,0,0,0,1,0
2020-09-17,2,2,6,3,12,8,4,9,3,4,3,6,1,0,0,1,0,0,1,0
2020-09-18,2,0,6,9,6,8,12,5,5,4,2,4,2,1,0,0,0,0,0,0
2020-09-19,0,0,2,1,7,2,3,5,2,3,0,2,0,1,0,0,0,0,0,1
2020-09-20,3,2,6,6,3,8,4,5,9,1,3,2,2,0,0,1,1,0,0,0
2020-09-21,0,2,5,3,8,11,9,7,8,4,6,5,1,3,2,0,0,0,0,0
2020-09-22,2,3,4,9,9,7,11,11,4,4,4,5,2,0,2,1,1,0,0,1
2020-09-23,2,2,1,3,4,10,6,9,5,3,5,2,2,1,0,1,0,1,1,0
2020-09-24,1,2,4,5,8,9,12,8,5,3,5,8,4,2,0,0,1,0,0,0
2020-09-25,2,4,3,4,5,5,7,4,4,2,3,0,0,0,0,0,2,0,0,0
2020-09-26,2,1,4,7,6,4,6,8,4,4,3,6,2,2,0,0,1,0,0,2
2020-09-27,3,2,5,2,3,6,6,6,6,7,3,6,1,2,1,0,0,0,0,0
2020-09-28,2,2,1,7,7,3,9,3,6,9,5,11,6,2,4,2,0,1,0,0
2020-09-29,4,2,4,5,10,12,9,12,12,8,4,4,4,2,1,1,1,4,0,0
2020-09-30,1,2,8,10,12,17,10,7,4,12,11,8,10,2,0,0,0,0,0,1
2020-10-01,2,1,5,9,17,16,15,11,9,12,11,8,8,3,3,3,2,1,1,0
2020-10-02,2,4,5,8,11,12,7,14,10,7,7,8,6,5,4,3,2,1,0,1
2020-10-03,4,2,1,4,6,10,7,11,10,5,8,7,6,2,2,0,0,0,2,0
2020-10-04,1,4,5,6,10,6,8,12,7,7,9,5,2,3,1,0,1,0,0,0
2020-10-05,6,4,4,11,14,15,16,17,12,11,11,11,9,8,5,1,0,0,1,0
2020-10-06,3,3,4,8,8,13,16,13,11,11,9,11,8,6,4,0,0,2,0,0
2020-10-07,1,1,2,11,15,12,12,15,13,8,11,14,9,8,4,3,6,0,1,0
2020-10-08,5,6,3,6,11,21,17,13,7,6,8,7,6,4,4,1,0,2,0,0
2020-10-09,3,0,5,6,8,10,17,11,8,14,18,10,8,2,5,3,2,0,2,0
2020-10-10,1,0,6,4,11,12,9,11,11,7,12,6,16,4,4,1,1,0,1,0
2020-10-11,2,4,7,5,8,8,11,11,12,12,12,3,10,7,2,1,0,2,1,0
2020-10-12,2,2,6,8,15,12,19,18,13,24,13,11,13,6,5,1,1,4,1,0
2020-10-13,2,3,9,14,24,8,17,20,15,12,13,11,7,7,2,7,0,3,2,0
2020-10-14,3,3,5,12,14,19,11,12,17,13,25,14,7,5,3,1,0,0,1,0
2020-10-15,4,3,15,11,14,12,16,11,12,6,13,13,10,7,5,8,0,0,0,0
2020-10-16,2,6,3,7,12,15,17,12,7,11,8,19,11,10,8,7,3,2,1,0
2020-10-17,3,3,9,10,9,10,4,14,12,6,13,7,7,10,6,2,1,0,1,0
2020-10-18,4,2,12,6,14,11,19,14,5,8,18,14,9,5,3,6,0,1,0,0
2020-10-19,6,8,11,6,17,18,25,24,18,23,24,17,22,13,7,5,1,2,2,0
2020-10-20,2,2,10,15,15,26,24,28,14,14,21,14,12,11,8,3,4,5,0,0
2020-10-21,6,5,5,9,12,19,23,16,16,17,17,22,12,9,7,4,4,1,5,0
2020-10-22,4,3,10,13,11,20,19,14,13,13,12,15,13,10,6,5,2,3,2,0
2020-10-23,2,7,8,20,13,17,23,21,13,13,16,13,14,8,3,6,2,4,0,1
2020-10-24,3,0,4,2,9,17,14,10,10,12,11,11,7,5,0,3,5,2,2,1
2020-10-25,3,4,1,6,5,8,12,8,15,16,6,11,12,6,4,5,2,4,4,2
2020-10-26,8,4,8,8,12,23,26,18,26,19,23,12,13,11,3,9,2,3,2,1
2020-10-27,5,5,5,7,17,17,16,15,16,13,16,13,14,21,7,6,6,4,5,2
2020-10-28,2,2,2,6,15,31,24,11,15,20,18,11,11,5,2,5,7,7,3,0
2020-10-29,1,4,8,5,21,18,24,14,16,16,17,15,11,1,6,7,4,4,6,1
2020-10-30,5,2,6,14,16,21,14,14,16,17,7,14,16,10,8,2,6,4,5,0
2020-10-31,1,5,1,6,8,12,15,21,16,12,12,11,7,6,1,3,5,1,4,0
2020-11-01,1,5,4,4,16,13,8,7,11,7,8,6,8,11,5,3,4,2,3,1
2020-11-02,6,10,11,10,17,27,32,25,24,24,24,19,21,13,15,3,3,5,0,0
2020-11-03,4,5,6,13,22,18,20,15,18,14,14,18,13,9,6,5,7,4,12,0
2020-11-04,2,4,6,16,12,20,18,16,17,15,10,10,10,8,8,2,5,5,7,0
2020-11-05,3,4,5,22,18,13,20,22,17,20,15,9,9,6,7,3,3,3,8,0
2020-11-06,3,5,11,7,14,15,11,10,12,15,20,23,12,9,6,11,7,3,3,0
2020-11-07,2,5,4,12,15,14,16,8,5,13,13,10,3,2,3,2,1,2,0,0
2020-11-08,5,5,11,5,10,9,15,13,14,12,10,9,5,4,1,5,1,3,1,0
2020-11-09,9,7,12,15,21,22,22,9,13,18,13,15,11,7,5,8,2,3,5,0
2020-11-10,4,6,8,10,13,10,9,15,12,21,15,9,6,11,3,1,2,1,1,0
2020-11-11,1,9,7,14,12,17,22,16,14,17,11,11,12,3,7,5,7,4,7,1
2020-11-12,2,11,10,13,21,15,16,13,8,17,10,8,6,5,5,4,4,0,1,0
2020-11-13,8,4,9,8,14,17,11,9,13,10,17,12,9,7,8,6,5,6,5,0
2020-11-14,4,0,3,3,7,14,6,6,8,11,6,6,12,2,7,3,1,0,2,0
2020-11-15,0,4,6,8,8,10,9,10,8,9,12,6,6,1,1,3,1,4,5,0
2020-11-16,3,2,9,9,11,15,16,17,8,14,18,9,8,5,1,7,4,2,4,2
2020-11-17,2,7,13,9,7,19,15,8,9,7,17,8,7,7,3,0,2,2,1,0
2020-11-18,2,5,11,6,10,9,11,11,9,14,7,12,2,2,2,4,0,4,6,0
2020-11-19,1,1,5,7,10,10,12,5,9,5,9,1,2,4,5,5,0,1,2,0
2020-11-20,1,1,8,9,3,4,7,5,10,7,8,3,7,4,7,2,3,6,4,0
2020-11-21,2,3,5,2,6,5,6,6,8,6,10,5,3,3,2,0,1,1,3,0
2020-11-22,1,0,1,6,4,1,5,7,8,2,5,2,8,4,2,2,0,0,1,0
2020-11-23,1,5,6,10,6,7,14,12,10,10,8,7,11,5,3,4,9,9,14,0
2020-11-24,2,4,6,7,5,4,8,6,5,6,10,6,2,4,2,0,2,4,6,0
2020-11-25,2,7,8,8,4,3,11,4,5,9,4,4,5,3,0,4,1,4,1,0
2020-11-26,3,1,4,6,1,6,4,8,5,5,2,6,5,3,1,4,4,1,2,0
2020-11-27,0,6,7,10,7,2,6,3,5,9,3,3,7,2,2,1,3,2,1,0
2020-11-28,1,4,5,5,3,2,7,3,4,3,5,2,2,3,0,1,1,1,2,0
2020-11-29,1,5,7,5,6,3,5,6,3,9,3,4,2,5,1,0,0,1,2,0
2020-11-30,1,7,4,9,6,10,9,9,10,4,10,7,3,3,1,1,2,2,4,0
2020-12-01,2,3,6,7,4,2,3,3,10,3,9,5,5,1,1,1,0,1,2,0
2020-12-02,1,3,0,3,1,5,3,6,5,9,2,4,3,3,3,1,3,1,0,0
2020-12-03,2,3,4,6,6,3,3,2,3,7,7,3,10,3,2,2,2,0,1,0
2020-12-04,3,2,4,7,5,2,6,9,9,7,4,2,3,4,0,1,3,1,1,0
2020-12-05,0,2,4,0,3,2,3,3,5,5,6,4,4,0,1,0,0,0,0,0
2020-12-06,1,0,2,2,3,7,7,0,4,2,3,2,4,0,0,1,0,0,0,0
2020-12-07,3,6,8,4,4,5,9,6,9,10,2,5,2,1,1,1,5,1,3,0
2020-12-08,1,3,6,3,4,8,6,8,6,7,6,5,4,2,2,2,1,1,0,0
2020-12-09,1,5,2,9,6,8,6,5,9,4,7,5,8,0,1,0,1,0,0,0
2020-12-10,1,1,5,6,6,5,3,7,6,7,5,4,0,1,1,0,0,1,1,0
2020-12-11,2,5,3,4,1,2,7,5,12,6,4,5,6,1,2,1,1,0,1,0
2020-12-12,2,2,0,3,3,3,5,6,4,8,8,7,0,0,5,0,0,0,0,0
2020-12-13,3,5,6,4,5,4,5,2,3,6,4,4,4,2,3,2,1,1,0,0
2020-12-14,0,2,5,4,8,3,6,13,2,10,5,3,5,3,2,0,3,3,0,0
2020-12-15,1,6,5,3,4,7,6,3,14,9,8,5,6,1,1,2,1,1,0,0
2020-12-16,1,2,1,3,5,11,6,3,4,6,6,2,3,3,0,1,0,0,0,0
2020-12-17,2,1,1,5,2,7,5,8,8,3,6,5,1,2,2,0,1,1,1,0
2020-12-18,0,2,7,3,7,5,4,5,4,5,9,6,0,2,1,0,0,0,0,0
2020-12-19,0,2,5,3,2,4,8,6,2,4,5,2,5,1,1,2,2,1,0,0
2020-12-20,0,0,4,5,6,5,4,12,5,5,6,3,3,2,1,1,0,0,0,0
2020-12-21,2,3,4,3,7,9,7,10,12,8,2,6,4,5,2,2,2,0,1,0
2020-12-22,3,4,6,2,5,9,9,5,8,5,10,6,4,3,4,0,2,1,0,0
2020-12-23,4,4,3,8,12,9,7,7,7,6,4,7,2,4,4,2,0,0,1,0
2020-12-24,4,1,3,5,3,10,8,6,2,3,3,4,1,0,3,2,0,0,0,0
2020-12-25,0,1,0,0,3,0,2,1,0,3,3,1,1,1,0,0,0,1,0,0
2020-12-26,1,0,4,4,5,8,9,10,9,1,6,7,3,1,1,1,0,0,1,0
2020-12-27,1,4,3,5,9,12,10,8,9,8,5,11,4,1,0,3,1,1,0,0
